0.0, 4.02, 0.52, 1.28, 4.38, 1.53, 2.76, 76.0, 31.0, 8.0, 4.02, 5.8
0.0, 3.78, 0.28, 1.52, 4.78, 1.93, 2.36, 68.0, 23.0, 16.0, 3.78, 5.8
0.0, 4.2, 0.7, 1.1, 5.07, 2.22, 2.07, 61.0, 16.0, 23.0, 4.2, 5.8
0.0, 3.76, 0.26, 1.54, 5.0, 2.15, 2.14, 64.0, 19.0, 20.0, 4.82, -12.48
0.0, 4.69, 1.19, 0.61, 4.27, 1.42, 2.87, 84.0, 39.0, 0.0, 4.69, 5.8
0.0, 4.08, 0.58, 1.22, 3.65, 0.8, 3.49, 49.0, 4.0, 35.0, 4.08, 5.8
0.0, 3.85, 0.35, 1.45, 7.64, 4.79, -0.5, 54.0, 9.0, 30.0, 3.85, 5.8
0.0, 4.66, 1.16, 0.64, 5.0, 2.15, 2.14, 64.0, 19.0, 20.0, 4.66, 5.8
0.0, 4.9, 1.4, 0.4, 6.1, 3.25, 1.04, 80.0, 35.0, 4.0, 4.9, 5.8
0.0, 4.24, 0.74, 1.06, 6.68, 3.83, 0.46, 46.0, 1.0, 38.0, 4.24, 5.8
0.0, 3.68, 0.18, 1.62, 4.46, 1.61, 2.68, 37.0, -8.0, 47.0, 3.68, 5.8
0.0, 4.08, 0.58, 1.22, 8.33, 5.48, -1.19, 60.0, 15.0, 24.0, 4.08, 5.8
0.0, 3.15, -0.35, 2.15, 4.44, 1.59, 2.7, 67.0, 22.0, 17.0, 3.15, 5.8
0.0, 3.62, 0.12, 1.68, 5.88, 3.03, 1.26, 62.0, 17.0, 22.0, 3.62, 5.8
0.0, 3.97, 0.47, 1.33, 5.31, 2.46, 1.83, 59.0, 14.0, 25.0, 3.97, 5.8
0.0, 3.73, 0.23, 1.57, 6.38, 3.53, 0.76, 53.0, 8.0, 31.0, 3.73, 5.8
0.0, 3.93, 0.43, 1.37, 5.9, 3.05, 1.24, 54.0, 9.0, 30.0, 3.93, 5.8
0.0, 4.42, 0.92, 0.88, 4.06, 1.21, 3.08, 63.0, 18.0, 21.0, 4.42, 5.8
0.0, 3.84, 0.34, 1.46, 6.65, 3.8, 0.49, 57.0, 12.0, 27.0, 3.84, 5.8
0.0, 3.7, 0.2, 1.6, 5.11, 2.26, 2.03, 56.0, 11.0, 28.0, 3.7, 5.8
0.0, 3.41, -0.09, 1.89, 3.9, 1.05, 3.24, 37.0, -8.0, 47.0, 3.41, 5.8
0.0, 4.76, 1.26, 0.54, 3.61, 0.76, 3.53, 83.0, 38.0, 1.0, 4.76, 5.8
0.0, 3.89, 0.39, 1.41, 6.35, 3.5, 0.79, 54.0, 9.0, 30.0, 3.89, 5.8
0.0, 5.38, 1.88, -0.08, 5.0, 2.15, 2.14, 64.0, 19.0, 20.0, 5.38, 5.8
0.0, 4.2, 0.7, 1.1, 5.66, 2.81, 1.48, 65.0, 20.0, 19.0, 4.2, 5.8
0.0, 3.6, 0.1, 1.7, 4.06, 1.21, 3.08, 47.0, 2.0, 37.0, 3.6, 5.8
0.0, 5.08, 1.58, 0.22, 3.33, 0.48, 3.81, 61.0, 16.0, 23.0, 5.08, 5.8
0.0, 5.02, 1.52, 0.28, 16.99, 14.14, -9.85, 138.0, 93.0, -54.0, 5.02, 5.8
0.0, 3.8, 0.3, 1.5, 4.09, 1.24, 3.05, 59.0, 14.0, 25.0, 3.8, 5.8
0.0, 4.18, 0.68, 1.12, 5.89, 3.04, 1.25, 77.0, 32.0, 7.0, 4.18, 5.8
0.0, 4.23, 0.73, 1.07, 6.45, 3.6, 0.69, 46.0, 1.0, 38.0, 4.23, 5.8
0.0, 3.93, 0.43, 1.37, 6.21, 3.36, 0.93, 51.0, 6.0, 33.0, 3.93, 5.8
0.0, 4.05, 0.55, 1.25, 9.29, 6.44, -2.15, 86.0, 41.0, -2.0, 4.05, 5.8
0.0, 3.41, -0.09, 1.89, 4.3, 1.45, 2.84, 53.0, 8.0, 31.0, 3.41, 5.8
0.0, 4.45, 0.95, 0.85, 8.89, 6.04, -1.75, 70.0, 25.0, 14.0, 4.45, 5.8
0.0, 3.92, 0.42, 1.38, 4.21, 1.36, 2.93, 53.0, 8.0, 31.0, 3.92, 5.8
0.0, 4.18, 0.68, 1.12, 5.24, 2.39, 1.9, 68.0, 23.0, 16.0, 4.18, 5.8
0.0, 4.49, 0.99, 0.81, 5.12, 2.27, 2.02, 48.0, 3.0, 36.0, 4.49, 5.8
0.0, 3.9, 0.4, 1.4, 5.0, 2.15, 2.14, 64.0, 19.0, 20.0, 3.9, 5.8
0.0, 3.94, 0.44, 1.36, 5.2, 2.35, 1.94, 45.0, 0.0, 39.0, 3.94, 5.8
0.0, 3.62, 0.12, 1.68, 3.14, 0.29, 4.0, 75.0, 30.0, 9.0, 3.62, 5.8
0.0, 3.98, 0.48, 1.32, 6.54, 3.69, 0.6, 58.0, 13.0, 26.0, 3.98, 5.8
0.0, 4.71, 1.21, 0.59, 4.52, 1.67, 2.62, 58.0, 13.0, 26.0, 4.71, 5.8
0.0, 3.57, 0.07, 1.73, 41.83, 38.98, -34.69, 357.0, 312.0, -273.0, 3.57, 5.8
0.0, 3.63, 0.13, 1.67, 4.85, 2.0, 2.29, 64.0, 19.0, 20.0, 3.7, 4.59
0.0, 3.84, 0.34, 1.46, 5.93, 3.08, 1.21, 57.0, 12.0, 27.0, 3.88, 5.11
0.0, 4.14, 0.64, 1.16, 7.76, 4.91, -0.62, 59.0, 14.0, 25.0, 4.14, 5.8
0.0, 3.62, 0.12, 1.68, 4.56, 1.71, 2.58, 68.0, 23.0, 16.0, 4.05, -1.61
0.0, 4.4, 0.9, 0.9, 4.6, 1.75, 2.54, 72.0, 27.0, 12.0, 4.4, 5.8
